,weekday,hour,ADX_14_0060_BTC,ATRr_14_0060_BTC,BBB_5_2.0_0060_BTC,BBL_5_2.0_0060_BTC,BBM_5_2.0_0060_BTC,BBP_5_2.0_0060_BTC,BBU_5_2.0_0060_BTC,DMN_14_0060_BTC,DMP_14_0060_BTC,MACD_12_26_9_0060_BTC,MACDh_12_26_9_0060_BTC,MACDs_12_26_9_0060_BTC,RSI_14_0060_BTC,close_0060_BTC,high_0060_BTC,low_0060_BTC,open_0060_BTC,ADX_14_1440_BTC,ATRr_14_1440_BTC,BBB_5_2.0_1440_BTC,BBL_5_2.0_1440_BTC,BBM_5_2.0_1440_BTC,BBP_5_2.0_1440_BTC,BBU_5_2.0_1440_BTC,DMN_14_1440_BTC,DMP_14_1440_BTC,MACD_12_26_9_1440_BTC,MACDh_12_26_9_1440_BTC,MACDs_12_26_9_1440_BTC,RSI_14_1440_BTC,close_1440_BTC,high_1440_BTC,low_1440_BTC,open_1440_BTC
2020-11-03 09:00:00,1,9,32.17727332641939,120.91400141670611,1.401616244861484,13340.667690206052,13434.820000000002,0.9333935098278544,13528.972309793951,26.10429508808531,16.547443446838844,-44.7837459595612,2.2022289930301326,-46.985974952591334,49.5592974901274,13516.43,13555.47,13404.45,13443.3,55.67298650209248,494.3022409770577,3.823060498848585,13363.1160265494,13623.534000000003,0.3576058345410823,13883.951973450608,10.134980849044178,28.014284722566902,658.1538122334587,50.1566595928723,607.9971526405864,70.3905594225267,13549.37,13830.0,13195.05,13761.49
2020-11-03 10:00:00,1,10,30.88920245958511,121.5430013155128,2.005910050527053,13328.581986745816,13463.616,0.8638490689565371,13598.650013254184,24.114259155960426,18.137983189259742,-34.545498469457016,9.95238118650746,-44.497879655964475,52.49660705693571,13561.88,13604.0,13474.28,13516.43,55.67298650209248,494.3022409770577,3.823060498848585,13363.1160265494,13623.534000000003,0.3576058345410823,13883.951973450608,10.134980849044178,28.014284722566902,658.1538122334587,50.1566595928723,607.9971526405864,70.3905594225267,13549.37,13830.0,13195.05,13761.49
2020-11-03 11:00:00,1,11,29.693136654667576,119.01064407869046,1.6585120847985964,13387.3364049196,13499.28,0.7293119135718691,13611.2235950804,22.86827422338344,17.200792723859678,-27.028632219724383,13.975397948992075,-41.00403016871646,51.69346307918851,13550.62,13579.32,13493.23,13561.88,55.67298650209248,494.3022409770577,3.823060498848585,13363.1160265494,13623.534000000003,0.3576058345410823,13883.951973450608,10.134980849044178,28.014284722566902,658.1538122334587,50.1566595928723,607.9971526405864,70.3905594225267,13549.37,13830.0,13195.05,13761.49
2020-11-03 12:00:00,1,12,28.822694814498263,116.70559807306984,1.2252238741406274,13438.242286655888,13521.074,0.5667980870685897,13603.90571334411,23.200860726048457,16.28763003959748,-22.305518978824693,14.95880895191342,-37.26432793073811,50.33246158327754,13532.14,13554.7,13467.96,13550.62,55.67298650209248,494.3022409770577,3.823060498848585,13363.1160265494,13623.534000000003,0.3576058345410823,13883.951973450608,10.134980849044178,28.014284722566902,658.1538122334587,50.1566595928723,607.9971526405864,70.3905594225267,13549.37,13830.0,13195.05,13761.49
2020-11-03 13:00:00,1,13,28.01442739148391,114.01234106785056,0.5500822486354576,13497.922771261909,13535.15,0.2250668301955237,13572.37722873809,22.05257150189767,15.481500030790269,-19.743700696310043,14.01650178754246,-33.7602024838525,49.019303336295906,13514.68,13550.0,13471.0,13532.15,55.67298650209248,494.3022409770577,3.823060498848585,13363.1160265494,13623.534000000003,0.3576058345410823,13883.951973450608,10.134980849044178,28.014284722566902,658.1538122334587,50.1566595928723,607.9971526405864,70.3905594225267,13549.37,13830.0,13195.05,13761.49
2020-11-03 14:00:00,1,14,26.906247159744098,124.18431670586124,1.9435818672708776,13439.91641976141,13571.806,0.984890465829894,13703.695580238593,18.80007867826096,24.171482655505432,-2.7513507519324776,24.807081385536023,-27.5584321374685,60.71608223951709,13699.71,13740.78,13484.36,13514.67,55.67298650209248,494.3022409770577,3.823060498848585,13363.1160265494,13623.534000000003,0.3576058345410823,13883.951973450608,10.134980849044178,28.014284722566902,658.1538122334587,50.1566595928723,607.9971526405864,70.3905594225267,13549.37,13830.0,13195.05,13761.49
2020-11-03 15:00:00,1,15,26.29128125337513,123.7754369411568,3.136605507247755,13402.802439372988,13616.347999999998,0.8939253045252076,13829.893560627008,17.51488408065298,25.3594902137922,17.364152489411936,35.93806770150435,-18.573915212092412,64.71546374699969,13784.59,13790.0,13671.54,13699.71,55.67298650209248,494.3022409770577,3.823060498848585,13363.1160265494,13623.534000000003,0.3576058345410823,13883.951973450608,10.134980849044178,28.014284722566902,658.1538122334587,50.1566595928723,607.9971526405864,70.3905594225267,13549.37,13830.0,13195.05,13761.49
2020-11-03 16:00:00,1,16,25.787140329711345,123.60219144535992,3.113224115795456,13435.848916501944,13648.3,0.6461042207406961,13860.751083498057,16.286616917186745,24.043416612314925,27.00639403189598,36.46424739519071,-9.457853363294737,59.05470924473067,13710.38,13798.0,13676.65,13784.6,55.67298650209248,494.3022409770577,3.823060498848585,13363.1160265494,13623.534000000003,0.3576058345410823,13883.951973450608,10.134980849044178,28.014284722566902,658.1538122334587,50.1566595928723,607.9971526405864,70.3905594225267,13549.37,13830.0,13195.05,13761.49
2020-11-03 17:00:00,1,17,25.31900947202355,119.74060634211985,2.6403919059853695,13504.57393615091,13685.246000000005,0.5875176807257042,13865.918063849096,15.611006901850049,23.046034949272865,34.77081240242478,35.382932612575615,-0.6121202101508314,59.389269237414815,13716.87,13749.88,13680.34,13710.39,55.67298650209248,494.3022409770577,3.823060498848585,13363.1160265494,13623.534000000003,0.3576058345410823,13883.951973450608,10.134980849044178,28.014284722566902,658.1538122334587,50.1566595928723,607.9971526405864,70.3905594225267,13549.37,13830.0,13195.05,13761.49
2020-11-03 18:00:00,1,18,25.064948665267927,115.73199160339703,0.8689660611885134,13668.959527903193,13728.607999999998,0.5241582047175,13788.256472096804,14.998031399857464,23.341552235062508,41.624065400390464,33.788948488433036,7.835116911957427,60.1786265571722,13731.49,13769.33,13705.71,13716.87,55.67298650209248,494.3022409770577,3.823060498848585,13363.1160265494,13623.534000000003,0.3576058345410823,13883.951973450608,10.134980849044178,28.014284722566902,658.1538122334587,50.1566595928723,607.9971526405864,70.3905594225267,13549.37,13830.0,13195.05,13761.49
